id,county,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018
0037,HARJU COUNTY,566741,567967,572103,569055,576215,582509,589610
0039,HIIU COUNTY,8620,8638,8589,9485,9348,9335,9387
0045,IDA-VIRU COUNTY,153716,151909,149483,144941,142934,140388,138266
0052,JÄRVA COUNTY,31204,30913,30425,31788,31318,30978,30661
0050,JÕGEVA COUNTY,31967,31587,31145,30421,29978,29510,29119
0056,LÄÄNE COUNTY,24734,24622,24323,21163,20935,20720,20646
0060,LÄÄNE-VIRU COUNTY,61154,60518,59583,61777,61065,60411,59791
0068,PÄRNU COUNTY,84388,83677,82829,87255,86692,86163,85756
0064,PÕLVA COUNTY,28026,27816,27641,26192,25769,25561,25290
0071,RAPLA COUNTY,35503,35069,34676,33779,33539,33485,33299
0074,SAARE COUNTY,31835,31815,31756,33718,33481,33307,33231
0079,TARTU COUNTY,153479,153100,152188,148356,148814,149295,151122
0081,VALGA COUNTY,31068,30590,30176,29915,29476,29073,28669
0084,VILJANDI COUNTY,48604,48127,47476,48318,47853,47288,46782
0087,VÕRU COUNTY,34178,33826,33426,37408,36953,36440,36133
